Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,season_code,agro_zone,crop_category,monsoon_dependent,irrigation_intensity,fertilizer_per_ha,pesticide_per_ha,input_intensity,rainfall_efficiency,yield_log,area_log,production_log,fertilizer_log,rainfall_log,year_normalized,year_squared,decade,State_encoded,Crop_encoded,Season_encoded,agro_zone_encoded,crop_category_encoded,year_bin
Gram,2005,Rabi       ,Jammu and Kashmir,514.0,269,1721.8,61638.88,107.94,0.533333333,,Other,pulses,0,0.45,119.92,0.21,120.13,0.1561411655444625,0.4274440146095483,6.244166900663736,5.598421958998375,11.029064342644357,7.4517061531799555,0.34782608695652173,0.12098298676748581,0,10,16,2,7,6,mid
Rice,2003,Autumn     ,Bihar,553904.0,688189,1353.9,54825417.92,132936.96,1.141666667,,Middle_Gangetic,cereals,0,0.65,98.98,0.24,99.22,507.9260462026717,0.7615843422688158,13.224748470880616,13.441820241580254,17.819664493278704,7.2114829298523855,0.2608695652173913,0.06805293005671077,0,3,40,0,4,1,early
Gram,1999,Rabi       ,Odisha,33610.0,20310,1484.3,3567029.3,9074.7,0.513703704,,East_Coast,pulses,0,0.45,106.13,0.27,106.4,13.67400525146435,0.41455943176759946,10.422608673326225,9.918917890191485,15.08724395883817,7.303372051035487,0.08695652173913043,0.007561436672967863,0,20,16,2,2,6,early
Cotton(lint),2016,Whole Year ,Chhattisgarh,79.0,147,1298.9,12106.75,27.65,2.162,,Central_Plateau,others,0,0.45,153.25,0.35,153.6,0.11308562197092083,1.1512047387872804,4.382026634673881,4.997212273764115,9.401601022422666,7.170042617413974,0.8260869565217391,0.6824196597353497,1,4,11,4,1,4,late
Gram,1998,Rabi       ,Bihar,109134.0,118982,1332.5,10782439.2,31648.86,0.923148148,,Middle_Gangetic,pulses,0,0.65,98.8,0.29,99.08999999999999,89.22534683164605,0.6539635036808127,11.600340926973178,11.686735904745756,16.193429461465108,7.195562343622069,0.043478260869565216,0.0018903591682419658,0,3,16,2,4,6,early
Rice,2014,Kharif     ,Delhi,6035.0,17269,416.4,911043.6,1991.55,2.86,,Other,cereals,0,0.45,150.96,0.33,151.29,41.37278390033541,1.3506671834767394,8.70549681988774,9.756726171140725,13.722347132233633,6.0340449946431,0.7391304347826086,0.546313799621928,1,5,40,1,7,1,late
Ginger,2002,Kharif     ,Manipur,1270.0,2100,1743.7,120230.9,317.5,1.663333333,,North_Eastern,spices,0,0.45,94.67,0.25,94.92,1.2036453258439845,0.9795784709849171,7.147559271189454,7.650168700845001,11.697177656888254,7.464337900085856,0.21739130434782608,0.04725897920604915,0,16,15,1,5,7,early
Urad,2008,Summer     ,Uttar Pradesh,53715.0,33405,891.6,7683393.6,4834.35,0.661694915,,Central_Plains,pulses,0,0.85,143.04,0.09000000000000001,143.13,37.42437822092763,0.5078381146011935,10.891466187701067,10.416490803549893,15.85457201267666,6.79413855219517,0.4782608695652174,0.2287334593572779,1,27,52,3,0,6,mid
Moth,2006,Kharif     ,Punjab,100.0,100,569.6,12771.0,22.0,1.0,,North_Western_Plains,others,0,0.85,127.71,0.22,127.93,0.17525411847178407,0.6931471805599453,4.61512051684126,4.61512051684126,9.455010553834672,6.3466884387794,0.391304347826087,0.15311909262759926,0,22,28,1,6,4,mid
Rapeseed &Mustard,1997,Rabi       ,Arunachal Pradesh,20500.0,19100,2274.9,1950985.0,6355.0,0.95,,Other,oilseeds,0,0.45,95.17,0.31,95.48,8.392284371018059,0.6678293725756554,9.928228944424575,9.857495968685136,14.483845443772223,7.7301308575498675,0.0,0.0,0,1,39,2,7,3,early
